Designator,Val,Package,Mid X,Mid Y,Rotation,Side
"C1","10u","C_0805_2012Metric",85.115000,-78.000000,0.000000,top
"C2","10u","C_0805_2012Metric",107.937500,-76.500000,0.000000,top
"C3","100n","C_0402_1005Metric",96.185000,-82.830000,180.000000,top
"C4","100n","C_0402_1005Metric",106.485000,-94.600000,0.000000,top
"C5","100n","C_0402_1005Metric",106.485000,-96.000000,0.000000,top
"C6","100n","C_0402_1005Metric",100.381000,-106.485000,-90.000000,top
"C7","100n","C_0402_1005Metric",106.485000,-101.200000,0.000000,top
"C8","100n","C_0402_1005Metric",93.515000,-97.000000,180.000000,top
"C9","1u","C_0402_1005Metric",104.000000,-93.515000,90.000000,top
"C10","100n","C_0402_1005Metric",100.000000,-92.515000,90.000000,top
"C11","1u","C_0402_1005Metric",103.000000,-93.515000,90.000000,top
"C12","100n","C_0402_1005Metric",101.500000,-106.485000,-90.000000,top
"C13","100n","C_0402_1005Metric",99.000000,-92.515000,90.000000,top
"C14","27p","C_0402_1005Metric",99.485000,-109.000000,0.000000,top
"C15","27p","C_0402_1005Metric",96.515000,-109.000000,180.000000,top
"C16","100n","C_0402_1005Metric",93.515000,-101.200000,180.000000,top
"C17","10u","C_0805_2012Metric",109.025000,-89.000000,0.000000,top
"J1","Conn_02x18_Odd_Even","PinHeader_2x18_P2.54mm_Vertical",75.870000,-74.000000,0.000000,top
"J2","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",91.110000,-76.540000,180.000000,top
"J3","USB_B_Micro","USB_Micro-B_Amphenol_10103594-0001LF_Horizontal_modified",100.000000,-71.700000,180.000000,top
"J4","Conn_02x18_Odd_Even","PinHeader_2x18_P2.54mm_Vertical",121.590000,-74.000000,0.000000,top
"R1","DNF","C_0402_1005Metric",89.500000,-82.315000,-90.000000,top
"R2","1k","C_0402_1005Metric",91.000000,-82.315000,90.000000,top
"R3","27","C_0402_1005Metric",101.000000,-93.515000,-90.000000,top
"R4","27","C_0402_1005Metric",102.000000,-93.515000,-90.000000,top
"R5","1k","C_0402_1005Metric",98.700000,-107.115000,-90.000000,top
"U1","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",108.000000,-82.850000,-90.000000,top
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",93.050000,-87.275000,0.000000,top
"U3","RP2040","RP2040-QFN-56",100.000000,-100.000000,0.000000,top
"Y1","ABLS-12.000MHZ-B4-T","Crystal_SMD_HC49-US",97.841000,-113.116000,0.000000,top
